task_id,name,category,person,priority,status,start_date,end_date,estimated_days,description,dev_note,note
ART-061,转场衔接空镜,美术,,P1,未开始,2026-04-21,2026-04-26,1.2,,,
ART-062,整体风格校准/去AI化,美术,,P1,未开始,2026-04-21,2026-04-26,0.5,,,
ART-063,开场视频,美术,,P1,未开始,2026-04-28,2026-05-03,2.0,,,
ART-064,真相视频,美术,,P1,未开始,2026-04-28,2026-05-03,2.0,,,
ART-065,结尾视频,美术,,P1,未开始,2026-04-28,2026-05-03,1.0,,,
OPT-007,新手引导（简版文字提示）,美术,,P1,进行中,,,,,,简化：只做文字提示框，不做动画
OPT-008,开场视频加变幕,美术,,P0,进行中,,,,,,已在排期
OPT-009,结尾真相视频修改,美术,,P1,进行中,,,,,,已在排期
OPT-012,整体指证交互逻辑优化（仅修P0）,美术,,P1,未开始,,,,,,简化：只修P0 bug，不重构
OPT-018,[POST-LAUNCH] 6号破绽对话图片,美术,,P3,未开始,,,,,,可用文字描述替代
